category,period,n_transactions,n_suppliers,total_spend,spend_share_within_period_pct,anomaly_rate_pct,new_supplier_rate_pct,hhi
MAINTENANCE CONTRACTS AND MATS,pre_covid,2,1,64665.46,0.0,0.0,0.0,10000.0
MEDICAL LOCUMS,covid,2,1,52875.0,0.0,0.0,0.0,10000.0
MEDICAL LOCUMS,pre_covid,7,2,207105.0,0.001,0.0,14.286,7695.2
MEDICAL NEGLIGENCE,covid,1,1,30229.27,0.0,0.0,100.0,10000.0
MEDICAL RECORD STORAGE,covid,2,1,89089.75,0.0,0.0,0.0,10000.0
MEDICAL RECORD STORAGE,pre_covid,6,1,222871.09999999998,0.001,0.0,0.0,10000.0
MINOR CLINICAL EQUIPMENT,covid,11,7,447282.87,0.001,0.0,27.273,1773.0
MINOR CLINICAL EQUIPMENT,pre_covid,8,2,360847.68000000005,0.001,0.0,12.5,8410.0
MSSE CONSUMABLES,covid,7,5,290690.71,0.0,0.0,28.571,3171.6
MSSE CONSUMABLES,pre_covid,4,1,121442.0,0.0,0.0,0.0,10000.0
Med & Surg Equip Disp,covid,31,6,779570.6799999999,0.001,3.226,6.452,4983.4
Med & Surg Equip Disp,post_covid,1,1,33353.84,0.0,0.0,0.0,10000.0
Med & Surg Equip Disp,pre_covid,12,2,378605.08999999997,0.001,0.0,0.0,7188.8
Med & Surg Equip General,covid,199,32,6639532.89,0.011,2.513,8.543,1612.7
Med & Surg Equip General,pre_covid,9,2,276373.2,0.001,0.0,0.0,6870.4
Med & Surg Equip Hire,covid,38,6,1063802.3800000001,0.002,0.0,2.632,4308.4
Med & Surg Equip Hire,post_covid,4,1,131931.6,0.0,0.0,0.0,10000.0
Med & Surg Equip Hire,pre_covid,14,1,401421.16000000003,0.001,0.0,0.0,10000.0
Med & Surg Equip Leases,covid,2,2,64982.9,0.0,0.0,0.0,5001.1
Med & Surg Equip Leases,post_covid,1,1,28830.0,0.0,0.0,0.0,10000.0
Med & Surg Equip Leases,pre_covid,7,2,262581.87,0.001,0.0,0.0,5074.0
Med & Surg Equip Repair,pre_covid,1,1,23322.36,0.0,0.0,0.0,10000.0
Med & Surg Maint Contract,covid,48,6,2394110.7800000003,0.004,2.083,4.167,3874.5
Med & Surg Maint Contract,post_covid,1,1,70078.07,0.0,0.0,0.0,10000.0
Med & Surg Maint Contract,pre_covid,18,7,1296838.77,0.005,0.0,5.556,3150.8
Med Equip Additions,covid,148,37,9370396.099557744,0.016,5.405,15.541,920.6
Med Equip Additions,post_covid,4,2,83944.22,0.0,0.0,0.0,5361.7
Med Equip Additions,pre_covid,28,18,2056150.6700000002,0.008,3.571,35.714,1833.3
Meeting expense/Room Hire,post_covid,14,1,5446.370000000001,0.0,0.0,0.0,10000.0
Meeting expense/Room Hire,pre_covid,1,1,26844.2,0.0,100.0,100.0,10000.0
Minor Works,covid,20,3,1980610.1600000001,0.003,0.0,5.0,8841.1
Minor Works,post_covid,11,3,232891.97999999998,0.0,9.091,9.091,7592.9
Minor Works,pre_covid,9,2,952191.3400000001,0.003,11.111,11.111,9427.3
Miscellaneous Expenditure,covid,11,10,1275140.9,0.002,0.0,45.455,1557.9
