node,community_id,community_size
BRADFORD METROPOLITAN DISTRICT COUNCIL,0,609
CYBERDUCK,0,609
HEALTHCARE COMMUNICATIONS UK,0,609
INCREMENTAL GROUP,0,609
PARITY MEDICAL,0,609
WILMINGTON,0,609
DATALYTYX,0,609
HEALTHWORKS VENTURES,0,609
EVOLUTION RECRUITMENT SOLUTIONS,0,609
MODALITY SYSTEMS,0,609
HOPIN,0,609
DR WHITE & PARTNERS BURTON ON TRENT,0,609
COMMUNITY HEALTH PARTNERSHIPS,0,609
STORM TECHNOLOGIES,0,609
NHS CROYDON CCG,0,609
ANHH CONSULTING,0,609
EXETER CITY COUNCIL,0,609
ALLIED PUBLICITY SERVICES MANCHESTER LTD TA APS GROUP,0,609
FACTS AND DIMENSIONS,0,609
CHS HEALTHCARE SOFTWARE,0,609
UNIVERSITY OF LONDON,0,609
BLACK CAT EMBROIDERY,0,609
WOODROW MERCER HEALTHCARE,0,609
VL DIGITAL,0,609
UNIVERSAL AV SERVICES,0,609
ME LEARNING,0,609
MONITOR,0,609
HOOTSUITE MEDIA,0,609
SPECIALIST COMPUTER CENTRES,0,609
NHS PROPERTY SERVICES,0,609
DEXTROUS WEB,0,609
NCC GROUP ACCUMULI SECURITY,0,609
BLUETEQ,0,609
PUBLIC HEALTH ENGLAND,0,609
UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,0,609
HP INCUK,0,609
PROFESSIONAL DATA MANAGEMENT SERVICES,0,609
MEDIREST,0,609
TELEPERFORMANCE,0,609
CORE STREAM,0,609
IED,0,609
UNIFY ENTERPRISE COMMUNICATIONS,0,609
ADVANCED 365,0,609
GLEN DIMPLEX HOME APPLIANCES,0,609
HITACHI VANTARA,0,609
NATIONAL CARE FORUM,0,609
COMPLETE BUSINESS SOLUTIONS GROUP,0,609
SRCL,0,609
NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,0,609
SOCIETE GENERALE EQUIPMENT FINANCE,0,609
ENERGY SYSTEMS CATAPULT SERVICES,1,548
BMF HUMAN PERFORMANCE,1,548
AGILE BUSINESS PROCESS UK,1,548
AIRE LOGIC,1,548
KORN FERRY UK,1,548
NDTI,1,548
KASHMIR DEVELOPMENT FOUNDATION,1,548
ONLINE EDUCATION SERVICES,1,548
NATIONAL HEALTH SERVICE RETIREMENT FELLOWSHIP,1,548
BENCHMARK MANAGEMENT CONSULTING,1,548
MID AND SOUTH ESSEX FOUNDATION TRUST,1,548
UNIVERSITY COLLEGE PLYMOUTH ST MARK & ST JOHN,1,548
BEHAVIOURAL INSIGHTS,1,548
COMPASS CONTRACT SERVICES,1,548
COUNCIL OF SOMALI ORGANISATIONS,1,548
PEEL AND SCHRIEK CONSULTING,1,548
DONCASTER & BASSETLAW HOSPITALS NHS FOUNDATION TRUST,1,548
SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1,548
CLAREMONT MARKETING COMMUNICATIONS,1,548
GARTNER UK,1,548
CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,1,548
CIVICA UK,1,548
COLLEGE OF PODIATRY THE,1,548
CGL,1,548
LESLEY STEPHEN CONSULTING,1,548
ABOVE DIFFERENCE,1,548
NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,1,548
SOURCEXCHANGE GSY,1,548
PEPPY HEALTH,1,548
KINGS COLLEGE LONDON,1,548
OHALLORAN CONSULTANCY,1,548
CPI,1,548
OFFICE FOR NATIONAL STATISTICS,1,548
YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,1,548
WHOLE SYSTEMS PARTNERSHIP,1,548
INFOFLEX,1,548
ANGLIA RUSKIN UNIVERSITY,1,548
GRAIL BIO UK,1,548
B SOL LPC,1,548
LEARNING DISABILITY ENGLAND,1,548
IMPACT INNOVATION,1,548
LGC,1,548
TRANSFORMATION TRUST THE,1,548
EDGE HEALTH,1,548
DIABETES UK,1,548
TAMARIX PEOPLE,1,548
RCGP CONFERENCES,1,548
COMMON COUNCIL OF THE CITY OF LONDON,1,548
HEALTH FOUNDATION THE,1,548
PHILIPS INTERNATIONAL B V,1,548
BLOOM PROCUREMENT SERVICES,1,548
HIGH PERFORMANCE CHANGE,1,548
CHOOSE HEALTH,1,548
POINT OF CARE FOUNDATION,1,548
RAISE THE BAR,1,548
ZUHLKE ENGINEERING,1,548
SOMERSET NHS FOUNDATION TRUST,1,548
CLEVER TOGETHER LAB,1,548
HEALTHCARE SKILLS TRAINING INTERNATIONAL,1,548
IMPERIAL COLLEGE LONDON,1,548
MYERS BRIGGS COMPANY,1,548
NOTTINGHAMSHIRE LPC,1,548
INTENSIVE CARE NATIONAL AUDIT AND RESEARCH CENTRE ICNARC,1,548
CHARTERED INSTITUTE OF LOGISTICS AND TRANSPORTTHE,1,548
LONDON BOROUGH OF ENFIELD,1,548
ALL4HOLDINGS LTD TA ALL4MATERNITY,1,548
THERA TRUST,1,548
NORFOLK COUNTY COUNCIL,1,548
CLOVULLIN ASSOCIATES,1,548
SQW,1,548
PARALLEL DATA INTELLIGENCE,1,548
VJ VERMA,1,548
DEPARTMENT FOR INTERNATIONAL TRADE,1,548
BRITISH HEART FOUNDATION,1,548
HEMSLEY FRASER GROUP,1,548
ROYAL COLLEGE OF RADIOLOGISTS,1,548
HILL DICKINSON,1,548
MANAGING HEALTH SOLUTIONS,1,548
FAITHFUL & GOULD,1,548
BRADFORD & DISTRICT COMMUNITY EMPOWERMENT NETWORK,1,548
VUEALTA,1,548
UNIVERSITY OF PLYMOUTH ENTERPRISE,1,548
TURNING POINT,1,548
UNIVERSITY OF OXFORD,1,548
JUICE BY DESIGN,1,548
GENERAL MEDICAL COUNCIL,1,548
RICHARD DIMBLEBY CANCER FUND,1,548
CAMFORD MEDICALS,1,548
RCN PUBLISHING COMPANY,1,548
COHORT SOFTWARE,1,548
UNIVERSITY OF READING,1,548
WAKEFIELD COUNCIL,1,548
DECISION INC UNITED KINGDOM,1,548
COMMUNITY WORKS,1,548
MONSTARLAB UK,1,548
BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,1,548
NETCOMPANY UK,1,548
PHAST,1,548
DIGIBETE CIC,1,548
HELEN BRADBURN,1,548
CONTENT DESIGN LONDON,1,548
NEWCASTLE UNIVERSITY,1,548
INSIGHT EXECUTIVE GROUP,1,548
UNIVERSITY OF MANCHESTER THE,1,548
INFORMED GENOMICS,1,548
HUMANKIND,1,548
MIND THE GAP,1,548
