category,spend_covid,spend_post_covid,spend_pre_covid,pct_change_pre_to_covid,pct_change_covid_to_post,n_transactions_total
External Consultancy Delivery,0.0,1967005.18,0.0,,,14
External Contracts,103113.97,5000023.209999999,0.0,,4749.025995216748,89
External Works - Auc Pur,0.0,493744.62,0.0,,,4
Finance Department,0.0,1446360.88,0.0,,,16
Financial Ledger System,55546.8,2413870.78,0.0,,4245.652278799138,12
Financial Management,0.0,292489.33,0.0,,,5
Financial Services,0.0,218635.01999999996,0.0,,,4
Financial Services Contract,0.0,76868.16,0.0,,,2
Fire Safety,0.0,266802.6,0.0,,,4
Fp10s,0.0,29458.16,0.0,,,1
Francotyp Postalia,0.0,30000.0,0.0,,,1
Fuel - Steam,711918.61,5573029.08,0.0,,682.8182887366858,97
Furniture & Fittings,133047.18,169478.4,0.0,,27.382181268329024,9
GAS,56410.86,0.0,0.0,,-100.0,2
GP Sessions / Staff Fund,68891.16,120559.53,0.0,,74.99999999999999,3
Gp Specialist Trainee,500000.0,5794322.23,0.0,,1058.864446,34
Grantham Ct,0.0,53632.31,0.0,,,1
Grantham Htm Compliance,0.0,32975.64,0.0,,,1
Grantham Utilities/Waste,0.0,190270.38,0.0,,,4
Grounds & Garden Expenses,0.0,33367.0,0.0,,,1
HIRE OF TRANSPORT,58650.0,0.0,0.0,,-100.0,2
HOME ENTERAL FOODS,25228.78,0.0,0.0,,-100.0,1
Head Of Governance,0.0,3207767.6,0.0,,,2
Hearing Aids: Repairs,130387.5,0.0,0.0,,-100.0,3
Heating Oil,0.0,597671.71,0.0,,,18
Hr Senior Team,0.0,141554.16,0.0,,,3
IT Gross Book Val BF,0.0,57074.38,0.0,,,1
Improvement Management,0.0,32465.55,0.0,,,1
Income tax - Current,0.0,13237068.27,0.0,,,4
Insource Service From Non Nhs,0.0,88603.51999999999,0.0,,,2
Int Recover Bus Activities Inp,0.0,353037.54000000004,0.0,,,3
Integra Prl Control,317191.77,0.0,0.0,,-100.0,3
Intensive Care Unit Med Lch,0.0,57345.45,0.0,,,1
Internal Audit Fees,0.0,541840.5,0.0,,,12
Internal Recharge: Rec,0.0,70415.0,0.0,,,2
International Recruitment,0.0,262273.0,0.0,,,6
It Services Contract,0.0,281469.11,0.0,,,4
LEGAL FEES - PROPERTY,27387.7,0.0,0.0,,-100.0,1
Lab Equip Maintenance Contract,0.0,158417.28,0.0,,,2
Laundry Contract,308984.08999999997,4059195.6799999997,0.0,,1213.7232017350798,60
Lease Car Recharges,0.0,32606.0,0.0,,,1
Lease Receipts as income - minimum lease receipts,0.0,23800.0,0.0,,,1
Legal Fees,0.0,75563.0,0.0,,,3
Legal Fees Employment,0.0,57857180.8,0.0,,,25
Legal Fees Other,0.0,660611.2000000001,0.0,,,13
Legal Fees Property,0.0,326412.2,0.0,,,5
Legal Services,0.0,4594523.7,0.0,,,5
Licence Fees - General,0.0,292720.88,0.0,,,4
Lin Car Parking And Security,0.0,129224.39000000001,0.0,,,4
Lincoln  Obstetrics Ip,0.0,3025332.68,0.0,,,3
Lincoln Clin Haematology Ip,0.0,137440.05,0.0,,,5
