node,node_type,degree,degree_centrality,betweenness_centrality,weighted_degree_n_transactions,total_amount,is_multi_trust_supplier,is_high_volume_supplier,is_hub_supplier
DEPARTMENT OF HEALTH,supplier,2,0.0003780718336483932,0.0,81,104339559.98,True,False,True
DEPUY SYNTHES,supplier,1,0.0001890359168241966,0.0,4,62871.299999999996,False,False,False
DIAGNOSTIC HEALTHCARE,supplier,1,0.0001890359168241966,0.0,44,1820696.3,False,False,False
DKP CONSULTING,supplier,1,0.0001890359168241966,0.0,2,79983.79000000001,False,False,False
DP MEDICAL SYSTEMS,supplier,1,0.0001890359168241966,0.0,2,53041.81999999999,False,False,False
DRAEGER MEDICAL UK,supplier,1,0.0001890359168241966,0.0,9,496762.02999999997,False,False,False
DRIVE DEVILBISS HEALTHCARE,supplier,1,0.0001890359168241966,0.0,3,184884.9,False,False,False
DRIVE DEVILBISS SIDHIL,supplier,1,0.0001890359168241966,0.0,43,1302415.66,False,False,False
ECCLESHILL ADVENTURE PLAYGROUND,supplier,1,0.0001890359168241966,0.0,3,92295.0,False,False,False
ELIS UK,supplier,1,0.0001890359168241966,0.0,2,56699.49,False,False,False
EQUINITI 360 CLINICAL,supplier,1,0.0001890359168241966,0.0,8,128180.0,False,False,False
FALCO UK,supplier,1,0.0001890359168241966,0.0,6,112704.0,False,False,False
FIRSTPOINT HEALTHCARE,supplier,1,0.0001890359168241966,0.0,19,130705.1,False,False,False
FRANCOTYP POSTALIA,supplier,1,0.0001890359168241966,0.0,15,486105.74,False,False,False
FRESENIUS KABI,supplier,1,0.0001890359168241966,0.0,10,331200.0,False,False,False
FRESENIUS MEDICAL CARE RENAL SERVICES,supplier,2,0.0003780718336483932,0.0,427,31769745.349999998,True,True,True
FRESENIUS MEDICAL CARE UK,supplier,2,0.0003780718336483932,0.0,39,6420581.4,True,False,True
FUJIFILM SONOSITE,supplier,1,0.0001890359168241966,0.0,2,74915.4,False,False,False
G4S SECURE SOLUTIONS UK,supplier,2,0.0003780718336483932,0.0,28,4652488.48,True,False,True
GAUMARD SCIENTIFIC CO,supplier,1,0.0001890359168241966,0.0,5,45618.03955774399,False,False,False
GAZPROM MARKETING & TRADING RETAIL,supplier,1,0.0001890359168241966,0.0,41,2317959.25,False,False,False
GE HEALTHCARE FINNAMORE,supplier,1,0.0001890359168241966,0.0,119,5494456.22,False,False,False
GE MEDICAL SYSTEMS,supplier,1,0.0001890359168241966,0.0,9,542509.18,False,False,False
GHX UK,supplier,1,0.0001890359168241966,0.0,3,36000.0,False,False,False
GILLING DOD ARCHITECTS,supplier,1,0.0001890359168241966,0.0,3,87509.72,False,False,False
GILMORE ASSOCIATES LTD TA BIRCH IMPROVEMENT,supplier,1,0.0001890359168241966,0.0,2,29700.0,False,False,False
GROSVENOR CONTRACTS LONDON,supplier,1,0.0001890359168241966,0.0,7,69090.0,False,False,False
HAAG STREIT UK,supplier,1,0.0001890359168241966,0.0,2,25782.0,False,False,False
HAMILTON MEDICAL UK,supplier,1,0.0001890359168241966,0.0,2,174803.04,False,False,False
HARROGATE & DISTRICT NHS FOUNDATION TRUST,supplier,1,0.0001890359168241966,0.0,2,631000.0,False,False,False
HEALTHCARE AT HOME,supplier,3,0.0005671077504725899,3.6866030356817526e-05,231,13737971.43,True,True,True
HEALTHCARE COMMUNICATIONS UK,supplier,1,0.0001890359168241966,0.0,2,74625.26000000001,False,False,False
HEALTHCARE SOFTWARE SOLUTIONS,supplier,1,0.0001890359168241966,0.0,7,267180.0,False,False,False
HEALTHNET HOMECARE,supplier,1,0.0001890359168241966,0.0,107,4446072.0,False,False,False
HEIDELBERG ENGINEERING,supplier,1,0.0001890359168241966,0.0,4,182130.24,False,False,False
HKS CONSULTANCY GROUP LTD HEALTHCARE & INDUSTRAIL,supplier,1,0.0001890359168241966,0.0,9,26725.87,False,False,False
HOLOGIC,supplier,1,0.0001890359168241966,0.0,14,250236.0,False,False,False
HOSPITAL METALCRAFT,supplier,2,0.0003780718336483932,0.0,7,172476.97999999998,True,False,True
HOSPITAL SERVICES,supplier,1,0.0001890359168241966,0.0,6,166380.4,False,False,False
HOWARD WRIGHT EUROPE,supplier,1,0.0001890359168241966,0.0,4,30962.4,False,False,False
ICNET INTERNATIONAL,supplier,1,0.0001890359168241966,0.0,2,56562.88,False,False,False
ICNH LTD TA DRDOCTOR,supplier,2,0.0003780718336483932,0.0,19,1391456.4,True,False,True
ILLINGWORTH & GREGORY,supplier,1,0.0001890359168241966,0.0,9,716447.44,False,False,False
INIVOS,supplier,1,0.0001890359168241966,0.0,12,376836.0,False,False,False
INLAND REVENUE CIS,supplier,1,0.0001890359168241966,0.0,2,7020026.529999999,False,False,False
INOVUS,supplier,1,0.0001890359168241966,0.0,5,37168.8,False,False,False
INTEGRATED LABORATORY SOLUTIONS ILS,supplier,1,0.0001890359168241966,0.0,81,16455460.15,False,False,False
INTEGRATED PATHOLOGY SOLUTIONS IPS,supplier,1,0.0001890359168241966,0.0,35,10727462.42,False,False,False
INTERSERVE CONSTRUCTION,supplier,1,0.0001890359168241966,0.0,23,3613580.51,False,False,False
INTUITIVE SURGICAL,supplier,1,0.0001890359168241966,0.0,38,728416.6,False,False,False
IQVIA TECHNOLOGY SERVICES,supplier,1,0.0001890359168241966,0.0,18,663715.45,False,False,False
