category,total_spend,n_transactions,n_periods_active,mean_anomaly_rate_pct,mean_new_supplier_rate_pct,mean_hhi,share_of_total_spend_pct,pct_change_pre_to_covid,pct_change_covid_to_post
DIAGNOSTIC TESTS OTHER NHS,65721.34,3.0,1.0,33.333,33.333,10000.0,0.0,,-100.0
Advertising,65071.6,3.0,2.0,33.333,0.0,10000.0,0.0,,-16.666666666666664
ACCOMMODATION,64800.0,1.0,1.0,0.0,100.0,10000.0,0.0,-100.0,
Phone Rental and Calls,62452.5,1.0,1.0,0.0,100.0,10000.0,0.0,-100.0,
NHS England Running Costs,60367.87,2.0,1.0,0.0,0.0,10000.0,0.0,,
PATIENT APPLIANCES,60000.0,2.0,1.0,0.0,0.0,10000.0,0.0,,-100.0
EQUIPMENT,55087.31,1.0,1.0,0.0,0.0,10000.0,0.0,,-100.0
VAT Cont Out Serv Inp Tax,54893.72,1.0,1.0,0.0,0.0,10000.0,0.0,-100.0,
EXTERNAL AUDIT,54884.4,1.0,1.0,0.0,0.0,10000.0,0.0,-100.0,
GRANTHAM PHARMACY CREDITORS,54814.75,2.0,1.0,0.0,0.0,5001.1,0.0,-100.0,
LOSSES _ COMPENSATIONS,54694.740000000005,2.0,1.0,0.0,50.0,5004.0,0.0,-100.0,
ENGIN AND MAINT EQUIP AND MATS,52934.0,2.0,1.0,0.0,100.0,5089.1,0.0,-100.0,
COST OF FP 10 PRESCRIPTIONS,52403.67,2.0,2.0,0.0,50.0,10000.0,0.0,3.8874013413606487,-100.0
Clinical excellence awards,52310.33,1.0,1.0,0.0,100.0,10000.0,0.0,,-100.0
Primary Care Trst Revenue,52123.75,1.0,1.0,0.0,0.0,10000.0,0.0,,-100.0
AGENCY ADMIN CLERICAL,50776.99,1.0,1.0,0.0,100.0,10000.0,0.0,,-100.0
COMP SOFTWARE LICENCE FEES,49122.6,2.0,2.0,0.0,50.0,10000.0,0.0,275.85585585585585,-100.0
Contr Pest Control,48816.0,1.0,1.0,0.0,100.0,10000.0,0.0,-100.0,
Other Operatg Rev Non NHS,42330.68,1.0,1.0,0.0,100.0,10000.0,0.0,,-100.0
Nurse Band 8A,36896.15,1.0,1.0,0.0,0.0,10000.0,0.0,-100.0,
EXTERNAL PAYROLL CONTRACT,35446.1,1.0,1.0,0.0,0.0,10000.0,0.0,,-100.0
PRINTING AND STATIONERY,35034.01,2.0,1.0,0.0,50.0,9535.2,0.0,-100.0,
Agency Prof & Tech,35000.0,1.0,1.0,0.0,0.0,10000.0,0.0,,-100.0
Cleaning Materials,33750.0,3.0,1.0,33.333,33.333,10000.0,0.0,,-100.0
Contr Premises Security,33448.0,1.0,1.0,100.0,100.0,10000.0,0.0,-100.0,
ENGIN & MAINT DAY TO DAY,33372.0,1.0,1.0,0.0,0.0,10000.0,0.0,-100.0,
PLUMBING WORKS,32471.39,1.0,1.0,0.0,100.0,10000.0,0.0,-100.0,
Meeting expense/Room Hire,32290.57,15.0,2.0,6.667,6.667,10000.0,0.0,-100.0,
Admin & Clerical Band 8B,31749.75,8.0,1.0,0.0,0.0,10000.0,0.0,,-100.0
Exclude,30636.37,59.0,1.0,81.356,62.712,535.8,0.0,,
MEDICAL NEGLIGENCE,30229.27,1.0,1.0,0.0,100.0,10000.0,0.0,,-100.0
THERAPY EQUIPMENT,30000.0,2.0,1.0,0.0,50.0,10000.0,0.0,,-100.0
Payt Rec On A/C Susp <1Yr,29371.34,1.0,1.0,100.0,100.0,10000.0,0.0,-100.0,
Prostheses - Other,29352.0,2.0,1.0,50.0,50.0,10000.0,0.0,,-100.0
Laboratory Bottles & Cont,28926.18,1.0,1.0,0.0,0.0,10000.0,0.0,-100.0,
CLINICAL SERVICES OTHER NHS,28474.87,1.0,1.0,0.0,0.0,10000.0,0.0,,-100.0
Printing Costs,27493.92,1.0,1.0,0.0,0.0,10000.0,0.0,,-100.0
Senior Manager Trust,27008.26,2.0,1.0,50.0,0.0,10000.0,0.0,,-100.0
Ext Contr Domestics,25760.0,1.0,1.0,0.0,0.0,10000.0,0.0,-100.0,
Contractual Clinical Srv,25560.0,1.0,1.0,0.0,0.0,10000.0,0.0,,
Printing Design Costs,25200.0,1.0,1.0,0.0,100.0,10000.0,0.0,-100.0,
EQUIPMENT REPAIRS _ MATERIALS,24868.86,1.0,1.0,0.0,0.0,10000.0,0.0,-100.0,
Bldg/Eng Equip Maint Cont,23787.56,1.0,1.0,0.0,0.0,10000.0,0.0,-100.0,
Med & Surg Equip Repair,23322.36,1.0,1.0,0.0,0.0,10000.0,0.0,-100.0,
POST MAR 95 RETIREMENTS < 1 Yr,18441.73,1.0,1.0,0.0,0.0,10000.0,0.0,,-100.0
Nurse band 5,13109.98,2.0,2.0,0.0,0.0,10000.0,0.0,-0.0003051106026001,-100.0
Agency Nursing:Op Dept Pr,9151.869999999999,9.0,2.0,0.0,0.0,10000.0,0.0,-46.49407068216507,-100.0
PRE MAR 95 RETIREMENTS < 1 Yr,6940.6,1.0,1.0,0.0,100.0,10000.0,0.0,,-100.0
NHS Local Debtors Adj,6365.0,1.0,1.0,0.0,0.0,10000.0,0.0,,-100.0
Senior Manager Band 8B,5196.23,8.0,1.0,0.0,0.0,10000.0,0.0,,-100.0
TELEPHONES,2660.3199999999997,2.0,2.0,0.0,0.0,10000.0,0.0,267.0341631262947,-100.0
Agency Healthcare Asst,306.0,1.0,1.0,0.0,0.0,10000.0,0.0,,-100.0
