supplier,total_transactions,total_spend,mean_transaction_amount,ml_anomaly_rate,mean_ml_anomaly_score,rule_flag_rate,is_network_hub,composite_risk_score,risk_tier,community_id,community_size
TRUST HOUSE READING,7,663991.0,94855.85714285714,0.0,-0.0553585241470273,0.1428571428571428,False,67.43827160493827,Medium,,
SID VALLEY PRACTICE,14,583194.22,41656.73,0.0714285714285714,-0.0773656373566054,0.0,False,67.41415895061728,Medium,,
DR TAYLOR & PARTNERS,11,434114.75,39464.97727272727,0.0909090909090909,-0.0813812728424231,0.0,False,67.40933641975309,Medium,3.0,221.0
DR CROSFIELD C E & PARTNERS,5,305533.02,61106.60400000001,0.0,-0.0839865534087168,0.2,False,67.3804012345679,Medium,,
POLICE & CRIME COMMISSIONER NORTHUMBRIA,12,2128282.16,177356.84666666668,0.0,-0.0724503059909465,0.1666666666666666,False,67.36111111111111,Medium,,
GROVE MEDICAL CENTRE,27,1904156.96,70524.33185185185,0.037037037037037,-0.1149166167982347,0.074074074074074,False,67.3611111111111,Medium,,
IPLATO HEALTHCARE LTD,15,3454213.51,230280.90066666665,0.0666666666666666,-0.0763545541053346,0.0,False,67.34664351851852,Medium,,
UNIVERSITY HOSPITALS OF NORTH MIDLANS NHS TRUST,76,110517775.45,1454181.2559210528,0.0131578947368421,-0.1441385486590838,0.3157894736842105,False,67.32735339506172,Medium,,
FALCO UK LTD,6,112704.0,18784.0,0.1666666666666666,-0.0885735908561525,0.0,False,67.32253086419753,Medium,,
HEALTHCARE FINANCIAL MANAGEMENT ASSOCIATION,11,2733067.6,248460.6909090909,0.0,-0.1063287832876913,0.3636363636363636,False,67.29359567901234,Medium,0.0,590.0
NHS NORTHAMPTONSHIRE ICB,35,9929941.74,283712.6211428571,0.0285714285714285,-0.1261928391209832,0.1428571428571428,True,67.27912808641975,Medium,3.0,221.0
CALCOT SPECSAVERS LTD,5,157117.84,31423.568,0.2,-0.090290949482955,0.0,False,67.27430555555556,Medium,,
BRUNEL MEDICAL PRACTICE BABBACOMBE TORQUAY,5,434988.45,86997.69,0.2,-0.0904192183665645,0.0,False,67.25501543209876,Medium,,
NAPC SERVICES LTD,10,1660462.2,166046.22,0.0,-0.0849516425994517,0.2,False,67.24537037037037,Medium,,
GARTNER UK LTD,25,2706126.67,108245.0668,0.04,-0.0665996582364053,0.0,False,67.19714506172839,Medium,,
CLEVELEYS GROUP PRACTICE,13,937393.34,72107.18,0.0,-0.0681851678234786,0.1538461538461538,False,67.17303240740739,Medium,,
BADGERSWOOD SURGERY,8,356844.92000000004,44605.615000000005,0.0,-0.0447568296090683,0.125,False,67.12480709876543,Medium,,
NHS GRAMPIAN,7,1430009.0,204287.0,0.0,-0.0996053360676447,0.2857142857142857,False,67.09104938271605,Medium,,
DR TROMPETAS & PARTNERS WARLINGHAM,5,339112.5,67822.5,0.4,-0.093360219661681,0.0,False,66.9897762345679,Medium,,
"NHS DURHAM DALES, EASINGTON AND SEDGEFIELD CCG",6,1696140.97,282690.1616666667,0.0,-0.0762144563313163,0.1666666666666666,False,66.9849537037037,Medium,,
RIVERSIDE MEDICAL CENTRE STOCKTON TEES,18,1063425.71,59079.20611111111,0.0555555555555555,-0.1144998188888117,0.0555555555555555,False,66.98013117283949,Medium,,
HFMA,30,5266625.74,175554.19133333335,0.0,-0.1116557385786003,0.5333333333333333,True,66.9753086419753,Medium,0.0,590.0
RYAN MEDICAL CENTRE,8,462604.86,57825.6075,0.25,-0.0928070216440291,0.0,False,66.97048611111111,Medium,,
MILLWOOD PARTNERSHIP (THE),12,794589.0,66215.75,0.0833333333333333,-0.0830448731467124,0.0,False,66.92708333333333,Medium,,
CHANNEL VIEW SURGERY TEIGNMOUTH,30,1991873.94,66395.798,0.0666666666666666,-0.1123451876137052,0.0333333333333333,False,66.91261574074073,Medium,,
NHS CAMDEN CCG,17,6134442.07,360849.53352941177,0.0588235294117647,-0.1361998420086674,0.1764705882352941,True,66.86439043209877,Medium,1.0,552.0
NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB,31,13014011.84,419806.8335483871,0.032258064516129,-0.1297955703485217,0.1612903225806451,False,66.85474537037037,Medium,3.0,221.0
ROTHSCHILD HOUSE SURGERY,40,4383329.11,109583.22775,0.025,-0.1279751729944271,0.15,False,66.82098765432099,Medium,3.0,221.0
SALFORD PRIMARY CARE TOGETHER,34,4620727.04,135903.73647058825,0.0294117647058823,-0.1281421788495864,0.1470588235294117,False,66.82098765432099,Medium,2.0,317.0
NHS HARTLEPOOL AND STOCKTON-ON-TEES CCG,8,1936772.59,242096.57375,0.0,-0.0958025326939864,0.25,False,66.70524691358024,Medium,,
UCL CONSULTANTS LTD,8,622940.0,77867.5,0.0,-0.0512888989307448,0.125,False,66.70042438271605,Medium,,
POSTERNGATE SURGERY,33,1768144.6,53580.1393939394,0.0303030303030303,-0.1245580364162611,0.1212121212121212,False,66.69560185185185,Medium,2.0,317.0
DR C NAGPAUL,18,1697898.46,94327.69222222222,0.0555555555555555,-0.1345694076524202,0.1666666666666666,False,66.67148919753086,Medium,2.0,317.0
TEESSIDE UNIVERSITY,9,1726768.96,191863.21777777775,0.1111111111111111,-0.0878988096804429,0.0,True,66.65702160493827,Medium,12.0,9.0
